log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
20,64,16384,0.5,1,0.233400066,0.064697489,0.007126643,810819
20,64,16384,0.5,1,0.232740870,0.063730166,0.006753605,819783
20,64,16384,0.5,1,0.233057467,0.063678985,0.006695823,818279
20,64,16384,0.5,1,0.246807173,0.071506685,0.007010471,812577
20,64,16384,0.5,1,0.233454107,0.063662505,0.006647782,826405
20,64,16384,0.5,32,0.041574111,0.062107220,0.006549369,810819
20,64,16384,0.5,32,0.041847467,0.060874602,0.006381766,819783
20,64,16384,0.5,32,0.039907142,0.061220609,0.007034061,818279
20,64,16384,0.5,32,0.042129303,0.060857291,0.006269613,812577
20,64,16384,0.5,32,0.041655903,0.061271580,0.007360239,826405
21,64,32768,0.5,1,0.505136938,0.127228858,0.007679116,925447
21,64,32768,0.5,1,0.526204929,0.141643048,0.007729557,921193
21,64,32768,0.5,1,0.503678604,0.127052695,0.007985712,920013
21,64,32768,0.5,1,0.490907782,0.127299880,0.007690846,928651
21,64,32768,0.5,1,0.504107534,0.126714047,0.008866003,919561
21,64,32768,0.5,32,0.082216410,0.116843481,0.007362619,925447
21,64,32768,0.5,32,0.076773155,0.115792587,0.005666270,921193
21,64,32768,0.5,32,0.081673477,0.115143223,0.005535356,920013
21,64,32768,0.5,32,0.082778182,0.114600500,0.007360018,928651
21,64,32768,0.5,32,0.082258351,0.129766446,0.007838369,919561
22,64,65536,0.5,1,1.038190963,0.251984770,0.010353486,1038993
22,64,65536,0.5,1,1.032471503,0.251502029,0.010194253,1035279
22,64,65536,0.5,1,1.037004896,0.254071519,0.010024789,1046257
22,64,65536,0.5,1,1.030254412,0.253551846,0.010199883,1043409
22,64,65536,0.5,1,1.030282413,0.252023302,0.008812472,1038349
22,64,65536,0.5,32,0.152758103,0.225962786,0.009936337,1038993
22,64,65536,0.5,32,0.150251795,0.244405867,0.007448390,1035279
22,64,65536,0.5,32,0.148300680,0.225187028,0.008690189,1046257
22,64,65536,0.5,32,0.148640618,0.224569124,0.008681648,1043409
22,64,65536,0.5,32,0.148731190,0.225939085,0.008855942,1038349
23,64,131072,0.5,1,2.148632329,0.506285684,0.014056471,1178835
23,64,131072,0.5,1,2.147828780,0.505438584,0.014883900,1179317
23,64,131072,0.5,1,2.151150706,0.500011900,0.014652764,1185877
23,64,131072,0.5,1,2.152725923,0.506227723,0.015208398,1183445
23,64,131072,0.5,1,2.150852139,0.499819026,0.014696986,1183509
23,64,131072,0.5,32,0.269032450,0.531285466,0.009829755,1178835
23,64,131072,0.5,32,0.265748526,0.453749782,0.010195583,1179317
23,64,131072,0.5,32,0.271571638,0.432030506,0.010128192,1185877
23,64,131072,0.5,32,0.267204868,0.431881623,0.009537588,1183445
23,64,131072,0.5,32,0.268536719,0.430922281,0.009863716,1183509
24,64,262144,0.5,1,4.644544907,1.005442365,0.017254215,1335161
24,64,262144,0.5,1,4.480546377,0.998821114,0.020936908,1317689
24,64,262144,0.5,1,4.480245260,1.002502028,0.016222291,1334617
24,64,262144,0.5,1,4.480098397,1.006160661,0.015486244,1335641
24,64,262144,0.5,1,4.469605246,1.005098937,0.016149918,1338999
24,64,262144,0.5,32,0.500227585,0.957900409,0.011481062,1335161
24,64,262144,0.5,32,0.500779448,0.937683646,0.011109044,1317689
24,64,262144,0.5,32,0.510744776,0.864913512,0.010965731,1334617
24,64,262144,0.5,32,0.498401484,0.849141182,0.009694451,1335641
24,64,262144,0.5,32,0.513174602,0.867734447,0.010157442,1338999
25,64,524288,0.5,1,10.528210909,2.208736513,0.017822657,1506749
25,64,524288,0.5,1,9.383181043,2.024025061,0.017216853,1501181
25,64,524288,0.5,1,9.414474469,1.991313282,0.021045881,1487133
25,64,524288,0.5,1,9.384050043,2.010708265,0.017676194,1500829
