log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
20,64,16384,0.5,1,0.078905864,0.031435274,0.008250918,575049
20,64,16384,0.5,1,0.075479076,0.046211431,0.007622953,561441
20,64,16384,0.5,1,0.073709225,0.046794954,0.007824158,576905
20,64,16384,0.5,1,0.073574252,0.046688882,0.007668914,571747
20,64,16384,0.5,1,0.073529101,0.046910517,0.007602882,562787
20,64,16384,0.5,32,0.023797361,0.025152532,0.006176400,575049
20,64,16384,0.5,32,0.019635696,0.023727399,0.005067026,561441
20,64,16384,0.5,32,0.019808050,0.023588536,0.005536886,576905
20,64,16384,0.5,32,0.019907283,0.023676938,0.005242239,571747
20,64,16384,0.5,32,0.019691627,0.023859823,0.005528015,562787
21,64,32768,0.5,1,0.161013890,0.056439593,0.008826381,680749
21,64,32768,0.5,1,0.162938284,0.055870290,0.008831471,680139
21,64,32768,0.5,1,0.164926839,0.055696986,0.008787400,670923
21,64,32768,0.5,1,0.163242711,0.055281886,0.008723109,667913
21,64,32768,0.5,1,0.163448305,0.054916869,0.008846042,677293
21,64,32768,0.5,32,0.042029945,0.044631575,0.006586190,680749
21,64,32768,0.5,32,0.043746454,0.042628919,0.006368645,680139
21,64,32768,0.5,32,0.043737985,0.043323424,0.005873874,670923
21,64,32768,0.5,32,0.043505329,0.042101827,0.005465745,667913
21,64,32768,0.5,32,0.041504014,0.045025023,0.005508496,677293
22,64,65536,0.5,1,0.331908235,0.107248968,0.010006877,799345
22,64,65536,0.5,1,0.330990074,0.115399883,0.010232693,794287
22,64,65536,0.5,1,0.332679652,0.106371858,0.010595341,796049
22,64,65536,0.5,1,0.331252550,0.106576982,0.009972157,788465
22,64,65536,0.5,1,0.331911665,0.107013082,0.009985338,786543
22,64,65536,0.5,32,0.076638482,0.076398807,0.007920230,799345
22,64,65536,0.5,32,0.080099351,0.075821194,0.006349294,794287
22,64,65536,0.5,32,0.083914848,0.075070256,0.007567512,796049
22,64,65536,0.5,32,0.080922589,0.074639447,0.007730756,788465
22,64,65536,0.5,32,0.080503230,0.074539755,0.007158023,786543
23,64,131072,0.5,1,0.717332296,0.229921326,0.011064901,923445
23,64,131072,0.5,1,0.680463248,0.207710201,0.012096645,938453
23,64,131072,0.5,1,0.681417750,0.207137678,0.011827339,919637
23,64,131072,0.5,1,0.683281382,0.211164551,0.012111266,924339
23,64,131072,0.5,1,0.682180987,0.207420236,0.011957881,930037
23,64,131072,0.5,32,0.145571069,0.142165892,0.008567745,923445
23,64,131072,0.5,32,0.147526604,0.138779335,0.007470789,938453
23,64,131072,0.5,32,0.138321464,0.148616909,0.007989782,919637
23,64,131072,0.5,32,0.143864060,0.137781762,0.007999482,924339
23,64,131072,0.5,32,0.144169148,0.138492678,0.007764606,930037
24,64,262144,0.5,1,1.407421823,0.453120110,0.014094401,1077463
24,64,262144,0.5,1,1.404722632,0.416757114,0.013580529,1075001
24,64,262144,0.5,1,1.395036752,0.422124735,0.013729682,1092441
24,64,262144,0.5,1,1.401761394,0.407806990,0.013670401,1077689
24,64,262144,0.5,1,1.395034501,0.403839351,0.013744142,1084825
24,64,262144,0.5,32,0.262575708,0.274051560,0.009883335,1077463
24,64,262144,0.5,32,0.254931735,0.268933344,0.009372813,1075001
24,64,262144,0.5,32,0.254483785,0.265058635,0.009125538,1092441
24,64,262144,0.5,32,0.303652892,0.272484314,0.008985485,1077689
24,64,262144,0.5,32,0.256994482,0.263348046,0.008162626,1084825
25,64,524288,0.5,1,2.877717535,0.840462765,0.015447661,1248253
25,64,524288,0.5,1,2.878008912,0.832128086,0.015743458,1250909
25,64,524288,0.5,1,2.882377411,0.832289790,0.015532863,1249981
25,64,524288,0.5,1,2.882046954,0.826369485,0.015723638,1257629
25,64,524288,0.5,1,2.880688593,0.814987956,0.015436922,1237885
25,64,524288,0.5,32,0.518442376,0.547118977,0.011144393,1248253
25,64,524288,0.5,32,0.507269241,0.526923998,0.008787440,1250909
25,64,524288,0.5,32,0.519556161,0.544770613,0.010050598,1249981
25,64,524288,0.5,32,0.509748857,0.515337514,0.012327510,1257629
25,64,524288,0.5,32,0.509888031,0.519121750,0.009037655,1237885
26,64,1048576,0.5,1,6.024156320,1.876271481,0.017744223,1431489
