log_n,rho,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
20,42432/64540,32,17.546,22.476,32.799,5631.969
21,60007/91271,32,33.349,31.214,45.381,6784.820
22,84863/129077,32,77.806,44.857,64.755,8165.203
23,120014/182542,32,152.750,79.336,91.617,10269.727
24,169725/258152,32,256.095,118.814,138.912,12990.219
25,240027/365082,32,476.434,154.329,188.935,17038.297
26,339450/516304,32,917.253,224.186,270.715,22479.312
27,480054/730163,32,1820.610,334.954,383.316,30374.258
28,678899/1032606,32,3476.980,474.165,536.740,41256.258
20,42432/64540,1,133.882,59.311,50.572,5631.969
21,60007/91271,1,247.868,93.957,65.297,6784.820
22,84863/129077,1,493.141,155.206,88.090,8165.203
23,120014/182542,1,961.582,268.522,118.261,10269.727
24,169725/258152,1,1874.254,437.791,155.145,12990.219
25,240027/365082,1,3888.703,792.071,217.904,17038.297
26,339450/516304,1,7977.464,1398.095,312.060,22479.312
27,480054/730163,1,16613.826,2716.554,440.793,30374.258
28,678899/1032606,1,33806.571,5518.755,620.630,41256.258
