log_n,rho,threads,commit_time,prove_time,verify_time,proof_size
20,0.5,32,0.178770044,0.429677761,0.015259762,756452
20,0.5,32,0.192008393,0.400691707,0.015623892,760292
20,0.5,32,0.164233776,0.396534416,0.015242491,761348
20,0.5,32,0.163897914,0.400284425,0.015322923,759492
20,0.5,32,0.163600685,0.401472112,0.015322423,762660
21,0.5,32,0.417041244,0.805039134,0.016999276,871662
21,0.5,32,0.345708637,0.773897387,0.016821141,863950
21,0.5,32,0.316799457,0.745488672,0.017082487,870414
21,0.5,32,0.315132765,0.686475098,0.017286332,878062
21,0.5,32,0.317267493,0.663494348,0.016896101,858382
22,0.5,32,0.676528313,1.401587763,0.018213754,1000440
22,0.5,32,0.623670041,1.402852092,0.017950906,976632
22,0.5,32,0.599895938,1.347550656,0.018183181,983128
22,0.5,32,0.548070767,1.363411209,0.017958444,979928
22,0.5,32,0.580495388,1.356221784,0.017995215,980888
23,0.5,32,1.407179585,2.790785749,0.019635672,1106818
23,0.5,32,1.310388478,2.665224916,0.019423045,1117698
23,0.5,32,1.275292803,2.697814254,0.019401212,1096642
23,0.5,32,1.304638629,2.643767713,0.019425541,1108162
23,0.5,32,1.285497807,2.617685094,0.019477300,1117986
24,0.5,32,2.662558191,5.292342587,0.021061172,1238220
24,0.5,32,2.670677697,5.284206588,0.021068738,1259724
24,0.5,32,2.706313849,5.157245899,0.020874410,1246540
24,0.5,32,2.638052366,5.193465943,0.020625120,1216396
24,0.5,32,2.650912259,5.172491156,0.020808921,1237548
25,0.5,32,5.378089409,10.248757759,0.022639478,1397750
25,0.5,32,5.445888446,10.233865685,0.022383216,1377558
25,0.5,32,5.409410379,10.128847369,0.022469551,1389142
25,0.5,32,5.479643910,10.195367131,0.022480374,1387702
25,0.5,32,5.407968507,10.059301822,0.022551899,1396086
26,0.5,32,11.189287807,19.981252440,0.024579137,1543424
26,0.5,32,11.029311109,19.920942627,0.024478963,1540480
26,0.5,32,11.043302695,19.753431212,0.024582444,1548416
26,0.5,32,10.991971998,19.812582480,0.026886218,1545376
26,0.5,32,11.037086484,19.457168823,0.024302798,1536736
27,0.5,32,22.288577606,39.300546728,0.026026546,1672362
27,0.5,32,22.487428846,39.840243452,0.025960559,1679882
27,0.5,32,22.341425624,39.516885246,0.026213730,1689066
27,0.5,32,22.300981217,39.398342294,0.026039616,1679402
27,0.5,32,22.416432712,39.020509677,0.026322850,1707946
28,0.5,32,44.400108466,77.432813361,0.027970725,1838996
28,0.5,32,44.692876146,77.759669622,0.027738401,1858900
28,0.5,32,44.497530611,77.764835141,0.027673131,1843220
28,0.5,32,44.503938945,78.034593947,0.027858708,1846996
28,0.5,32,44.558610558,78.171224025,0.027943493,1856148
