log_n,rho,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
20,1/2,32,142.430,251.392,8.775,712.957
20,1/2,32,118.572,201.473,8.567,713.207
20,1/2,32,126.965,243.429,9.103,714.770
20,1/2,32,119.439,159.280,8.677,716.457
20,1/2,32,108.706,133.590,8.816,711.238
21,1/2,32,285.746,462.386,9.332,819.334
21,1/2,32,266.913,456.951,9.326,814.896
21,1/2,32,255.132,410.880,9.166,796.521
21,1/2,32,247.199,382.080,9.439,819.896
21,1/2,32,247.557,377.423,9.351,816.959
22,1/2,32,501.163,804.670,10.486,943.773
22,1/2,32,495.278,710.293,10.147,922.461
22,1/2,32,493.555,717.440,10.240,931.711
22,1/2,32,480.079,675.182,10.388,926.742
22,1/2,32,479.933,702.377,12.737,901.398
23,1/2,32,896.391,1482.477,11.464,1054.807
23,1/2,32,902.826,1572.266,11.132,1040.494
23,1/2,32,945.402,1506.148,11.270,1048.213
23,1/2,32,875.060,1441.741,11.400,1054.213
23,1/2,32,883.481,1460.257,11.286,1043.994
24,1/2,32,1765.058,3062.044,12.298,1177.496
24,1/2,32,1738.533,2922.427,12.395,1193.809
24,1/2,32,1738.556,2945.323,12.490,1183.559
24,1/2,32,1799.355,2890.087,12.220,1175.996
24,1/2,32,1739.364,2844.100,12.234,1168.059
25,1/2,32,3568.505,5833.093,13.468,1325.092
25,1/2,32,3536.834,5717.056,13.589,1332.717
25,1/2,32,3536.806,5628.194,13.504,1309.936
25,1/2,32,3463.829,5657.414,13.727,1338.748
25,1/2,32,3478.693,5518.477,13.520,1332.498
26,1/2,32,6993.220,11342.739,14.771,1450.469
26,1/2,32,7051.826,11217.660,14.924,1465.406
26,1/2,32,7158.444,11391.123,14.820,1449.500
26,1/2,32,7074.189,11441.162,14.765,1457.656
26,1/2,32,7048.107,11419.063,14.599,1455.594
27,1/2,32,14542.967,23197.291,16.067,1606.221
27,1/2,32,14290.000,22208.329,16.078,1622.502
27,1/2,32,14255.721,22154.597,16.154,1622.471
27,1/2,32,14236.412,22223.090,16.296,1622.564
27,1/2,32,14287.834,22151.556,16.265,1623.783
28,1/2,32,29435.714,45589.830,17.336,1776.973
28,1/2,32,29107.836,45133.970,17.353,1789.598
28,1/2,32,29251.146,45299.714,18.337,1775.410
28,1/2,32,28999.806,45914.437,17.352,1777.285
28,1/2,32,29370.275,46071.427,17.385,1768.941
20,1/4,32,275.234,434.748,5.888,544.252
20,1/4,32,253.847,406.087,6.050,544.783
20,1/4,32,251.648,404.071,6.010,541.439
20,1/4,32,239.158,360.907,6.089,550.064
20,1/4,32,237.497,398.100,5.904,532.283
21,1/4,32,461.751,843.159,6.663,619.108
21,1/4,32,443.726,737.516,6.704,629.765
21,1/4,32,442.202,701.577,6.733,628.108
21,1/4,32,451.236,694.851,6.712,628.202
21,1/4,32,445.591,694.065,6.682,631.483
22,1/4,32,873.990,1562.547,7.285,699.809
22,1/4,32,857.119,1404.380,7.218,694.496
22,1/4,32,858.594,1368.656,7.289,702.996
22,1/4,32,853.849,1362.394,7.321,698.184
22,1/4,32,856.043,1362.282,7.286,695.246
23,1/4,32,1610.490,2948.758,7.948,793.009
23,1/4,32,1618.762,2888.827,7.894,782.103
23,1/4,32,1685.149,2933.984,8.037,794.634
23,1/4,32,1733.382,2856.637,12.865,771.665
23,1/4,32,1771.521,2932.504,7.909,777.509
24,1/4,32,3243.092,5753.585,8.744,860.959
24,1/4,32,3228.523,5796.600,8.564,858.834
24,1/4,32,3290.968,5645.107,8.694,864.584
24,1/4,32,3230.929,5805.584,8.692,866.803
24,1/4,32,3447.025,5739.043,8.728,880.834
25,1/4,32,6577.416,11479.674,9.407,954.753
25,1/4,32,6456.085,11353.187,9.591,960.472
25,1/4,32,6495.479,11328.699,9.451,958.284
25,1/4,32,6464.708,11071.154,9.535,972.253
25,1/4,32,6363.740,10985.998,14.241,975.597
26,1/4,32,12995.756,22305.433,10.320,1059.578
26,1/4,32,13327.509,22899.613,10.313,1065.266
26,1/4,32,13086.508,22327.303,10.281,1064.422
26,1/4,32,12973.006,22107.175,10.268,1056.578
26,1/4,32,12872.702,22174.688,10.184,1039.922
27,1/4,32,26090.470,44124.615,11.066,1175.591
27,1/4,32,25819.524,43929.564,10.896,1158.591
27,1/4,32,26264.371,44307.248,11.086,1159.185
27,1/4,32,26057.943,44313.515,11.176,1172.622
27,1/4,32,26027.017,44342.256,14.563,1153.872
28,1/4,32,52833.772,91009.557,11.897,1254.947
28,1/4,32,52922.334,91309.928,11.996,1268.979
28,1/4,32,52679.552,88133.612,11.916,1251.322
28,1/4,32,53027.233,88312.395,11.987,1269.072
28,1/4,32,52894.780,91850.250,11.888,1269.479
