base_field,extension_degree,log_d,m,blowup,terminal_coefficients,num_queries,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
goldilocks,2,20,32,2,256,241,32,25.067,27.370,3.885,521.910
goldilocks,2,20,32,2,256,241,32,20.682,26.929,4.277,531.816
goldilocks,2,20,32,2,256,241,32,21.032,26.719,3.716,524.160
goldilocks,2,20,32,2,256,241,32,20.605,27.470,3.477,519.408
goldilocks,2,20,32,2,256,241,32,20.899,28.014,3.579,519.504
goldilocks,2,21,32,2,256,241,32,43.998,49.349,5.026,640.318
goldilocks,2,21,32,2,256,241,32,43.830,49.086,4.071,639.664
goldilocks,2,21,32,2,256,241,32,44.418,47.445,3.510,636.818
goldilocks,2,21,32,2,256,241,32,40.689,47.601,3.841,646.352
goldilocks,2,21,32,2,256,241,32,45.695,47.375,3.355,647.600
goldilocks,2,22,64,2,256,242,32,74.678,84.214,5.115,767.354
goldilocks,2,22,64,2,256,242,32,74.421,82.912,5.087,758.727
goldilocks,2,22,64,2,256,242,32,75.314,79.983,4.590,767.447
goldilocks,2,22,64,2,256,242,32,72.817,80.375,3.428,771.447
goldilocks,2,22,64,2,256,242,32,75.904,79.054,4.437,753.666
goldilocks,2,23,64,2,256,242,32,132.760,153.918,4.967,903.326
goldilocks,2,23,64,2,256,242,32,127.109,155.748,5.040,895.387
goldilocks,2,23,64,2,256,242,32,133.906,171.983,5.350,902.201
goldilocks,2,23,64,2,256,242,32,134.612,152.015,4.694,892.889
goldilocks,2,23,64,2,256,242,32,133.549,152.156,4.400,903.639
goldilocks,2,24,64,2,256,242,32,240.728,304.288,6.316,1046.861
goldilocks,2,24,64,2,256,242,32,241.339,291.166,4.579,1042.141
goldilocks,2,24,64,2,256,242,32,243.171,286.063,5.069,1038.643
goldilocks,2,24,64,2,256,242,32,282.292,287.582,4.872,1050.611
goldilocks,2,24,64,2,256,242,32,239.364,289.336,4.998,1036.049
goldilocks,2,25,64,2,256,242,32,449.051,584.242,6.352,1204.646
goldilocks,2,25,64,2,256,242,32,449.522,554.776,5.302,1212.146
goldilocks,2,25,64,2,256,242,32,456.483,579.196,5.211,1193.865
goldilocks,2,25,64,2,256,242,32,454.644,551.838,4.781,1200.646
goldilocks,2,25,64,2,256,242,32,452.335,555.496,4.802,1195.271
goldilocks,2,26,64,2,256,244,32,881.973,1204.647,6.008,1379.279
goldilocks,2,26,64,2,256,244,32,870.829,1148.299,6.165,1391.186
goldilocks,2,26,64,2,256,244,32,874.627,1157.510,5.973,1380.873
goldilocks,2,26,64,2,256,244,32,885.479,1174.437,8.075,1387.059
goldilocks,2,26,64,2,256,244,32,873.843,1139.867,5.614,1389.811
goldilocks,3,27,64,2,256,241,32,1859.817,3162.685,6.095,1608.809
goldilocks,3,27,64,2,256,241,32,1736.629,3569.602,7.803,1624.012
goldilocks,3,27,64,2,256,241,32,1719.500,3035.321,5.820,1608.355
goldilocks,3,27,64,2,256,241,32,1723.828,2976.430,5.928,1613.184
goldilocks,3,27,64,2,256,241,32,1729.915,3022.041,5.525,1607.340
goldilocks,3,28,64,2,256,241,32,3526.814,6225.642,6.658,1825.672
goldilocks,3,28,64,2,256,241,32,3600.610,6402.269,7.229,1822.750
goldilocks,3,28,64,2,256,241,32,3471.529,6053.418,5.831,1826.547
goldilocks,3,28,64,2,256,241,32,3496.833,6091.481,6.493,1819.779
goldilocks,3,28,64,2,256,241,32,3508.220,6097.547,6.152,1820.000
