base_field,extension_degree,log_d,m,blowup,terminal_coefficients,num_queries,agreement_numerator,agreement_denominator,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
goldilocks,3,20,32,2,256,201,177,250,32,16.902,17.129,2.954,482.198
goldilocks,3,20,32,2,256,201,177,250,32,17.109,19.278,3.734,479.573
goldilocks,3,20,32,2,256,201,177,250,32,17.734,17.607,3.710,479.013
goldilocks,3,20,32,2,256,201,177,250,32,16.047,19.352,3.737,483.435
goldilocks,3,20,32,2,256,201,177,250,32,16.956,17.385,3.705,475.810
goldilocks,3,21,64,2,256,201,177,250,32,41.069,17.389,4.200,581.231
goldilocks,3,21,64,2,256,201,177,250,32,42.066,16.049,3.682,580.198
goldilocks,3,21,64,2,256,201,177,250,32,42.353,16.687,3.829,578.341
goldilocks,3,21,64,2,256,201,177,250,32,44.808,16.171,4.151,580.872
goldilocks,3,21,64,2,256,201,177,250,32,44.880,18.038,3.793,583.714
goldilocks,3,22,64,2,256,201,177,250,32,76.494,36.983,4.337,677.767
goldilocks,3,22,64,2,256,201,177,250,32,75.536,30.756,4.509,681.358
goldilocks,3,22,64,2,256,201,177,250,32,80.168,35.553,4.333,673.093
goldilocks,3,22,64,2,256,201,177,250,32,76.055,31.419,4.359,688.079
goldilocks,3,22,64,2,256,201,177,250,32,76.940,28.592,3.882,680.532
goldilocks,3,23,64,2,256,201,177,250,32,133.594,50.753,4.967,807.911
goldilocks,3,23,64,2,256,201,177,250,32,142.860,52.452,4.730,801.849
goldilocks,3,23,64,2,256,201,177,250,32,147.967,43.875,4.594,798.614
goldilocks,3,23,64,2,256,201,177,250,32,146.560,44.648,4.731,810.677
goldilocks,3,23,64,2,256,201,177,250,32,143.227,45.156,4.799,808.146
goldilocks,3,24,64,2,256,201,177,250,32,275.450,73.769,4.435,934.806
goldilocks,3,24,64,2,256,201,177,250,32,274.823,69.561,4.569,938.493
goldilocks,3,24,64,2,256,201,177,250,32,271.486,69.543,4.197,921.915
goldilocks,3,24,64,2,256,201,177,250,32,270.746,67.105,4.281,934.634
goldilocks,3,24,64,2,256,201,177,250,32,264.561,66.548,4.015,932.978
goldilocks,3,25,64,2,256,201,177,250,32,501.353,151.353,4.355,1059.763
goldilocks,3,25,64,2,256,201,177,250,32,512.194,129.149,4.036,1069.966
goldilocks,3,25,64,2,256,201,177,250,32,507.467,119.807,3.860,1063.278
goldilocks,3,25,64,2,256,201,177,250,32,504.088,121.204,3.998,1075.794
goldilocks,3,25,64,2,256,201,177,250,32,510.969,128.602,4.170,1069.903
goldilocks,3,26,64,2,256,201,177,250,32,971.320,273.330,4.256,1227.001
goldilocks,3,26,64,2,256,201,177,250,32,963.856,279.081,3.719,1232.235
goldilocks,3,26,64,2,256,201,177,250,32,966.451,258.150,3.669,1216.688
