base_field,extension_degree,log_d,m,blowup,terminal_coefficients,num_queries,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
goldilocks,2,20,32,2,256,241,32,16.238,16.038,3.524,519.938
goldilocks,2,20,32,2,256,241,32,16.081,17.459,3.183,524.627
goldilocks,2,20,32,2,256,241,32,15.397,16.142,3.795,529.379
goldilocks,2,20,32,2,256,241,32,15.281,18.471,3.527,529.879
goldilocks,2,20,32,2,256,241,32,15.858,16.710,3.533,535.754
goldilocks,2,21,32,2,256,241,32,44.499,28.339,3.804,640.664
goldilocks,2,21,32,2,256,241,32,51.101,23.786,3.925,638.975
goldilocks,2,21,32,2,256,241,32,47.607,27.420,3.973,637.193
goldilocks,2,21,32,2,256,241,32,52.341,25.786,3.780,642.039
goldilocks,2,21,32,2,256,241,32,44.001,23.169,3.771,654.381
goldilocks,2,22,64,2,256,242,32,73.198,26.929,4.224,774.916
goldilocks,2,22,64,2,256,242,32,73.077,26.857,4.208,760.320
goldilocks,2,22,64,2,256,242,32,73.532,26.419,3.978,752.256
goldilocks,2,22,64,2,256,242,32,74.701,22.460,3.899,765.760
goldilocks,2,22,64,2,256,242,32,73.905,23.667,4.205,772.322
goldilocks,2,23,64,2,256,242,32,136.907,45.910,4.499,887.420
goldilocks,2,23,64,2,256,242,32,139.846,39.329,4.508,899.826
goldilocks,2,23,64,2,256,242,32,134.127,39.443,3.990,895.637
goldilocks,2,23,64,2,256,242,32,133.216,39.284,4.598,898.387
goldilocks,2,23,64,2,256,242,32,133.173,41.382,4.649,891.264
goldilocks,2,24,64,2,256,242,32,260.938,61.777,4.303,1044.861
goldilocks,2,24,64,2,256,242,32,261.632,56.874,4.191,1043.705
goldilocks,2,24,64,2,256,242,32,240.758,64.248,3.975,1039.047
goldilocks,2,24,64,2,256,242,32,248.499,60.212,3.957,1047.611
goldilocks,2,24,64,2,256,242,32,259.593,60.208,4.233,1031.580
goldilocks,2,25,64,2,256,242,32,465.679,112.746,4.336,1191.146
goldilocks,2,25,64,2,256,242,32,455.615,118.507,4.257,1197.863
goldilocks,2,25,64,2,256,242,32,457.517,114.087,4.165,1201.709
goldilocks,2,25,64,2,256,242,32,465.784,115.533,4.531,1195.113
goldilocks,2,25,64,2,256,242,32,463.760,94.803,4.040,1207.771
goldilocks,2,26,64,2,256,244,32,887.839,221.064,4.232,1380.654
goldilocks,2,26,64,2,256,244,32,901.940,188.049,4.540,1394.904
goldilocks,2,26,64,2,256,244,32,881.811,228.671,4.513,1389.467
goldilocks,2,26,64,2,256,244,32,885.251,263.513,4.697,1389.061
goldilocks,2,26,64,2,256,244,32,913.419,207.512,5.451,1395.342
goldilocks,3,27,64,2,256,241,32,1735.421,577.938,4.885,1611.041
goldilocks,3,27,64,2,256,241,32,1740.184,551.497,5.245,1601.777
goldilocks,3,27,64,2,256,241,32,1716.394,549.612,5.313,1605.090
goldilocks,3,27,64,2,256,241,32,1718.673,559.415,5.724,1620.996
goldilocks,3,27,64,2,256,241,32,1714.512,527.055,5.190,1605.543
goldilocks,3,28,64,2,256,241,32,3517.360,1184.011,5.878,1829.844
goldilocks,3,28,64,2,256,241,32,3527.906,1157.947,4.781,1828.750
goldilocks,3,28,64,2,256,241,32,3502.578,1175.137,5.942,1830.375
goldilocks,3,28,64,2,256,241,32,3514.871,1178.039,5.667,1825.766
goldilocks,3,28,64,2,256,241,32,3550.459,1196.938,5.709,1827.562
goldilocks,2,20,64,4,256,148,32,39.747,14.567,2.391,418.471
goldilocks,2,20,64,4,256,148,32,43.019,18.682,2.484,419.973
goldilocks,2,20,64,4,256,148,32,47.260,13.243,2.494,419.348
goldilocks,2,20,64,4,256,148,32,45.569,12.251,2.518,420.502
goldilocks,2,20,64,4,256,148,32,42.189,14.663,2.526,424.660
goldilocks,2,21,64,4,256,148,32,75.049,30.130,2.677,505.916
goldilocks,2,21,64,4,256,148,32,77.460,22.572,2.694,505.416
goldilocks,2,21,64,4,256,148,32,78.971,22.594,2.679,497.385
goldilocks,2,21,64,4,256,148,32,78.861,22.381,2.676,498.354
goldilocks,2,21,64,4,256,148,32,78.555,22.918,2.669,494.041
goldilocks,2,22,64,4,256,148,32,136.191,39.078,2.950,582.982
goldilocks,2,22,64,4,256,148,32,134.444,36.760,2.862,588.701
goldilocks,2,22,64,4,256,148,32,131.781,31.718,2.944,589.639
goldilocks,2,22,64,4,256,148,32,137.796,28.893,2.114,590.107
goldilocks,2,22,64,4,256,148,32,133.980,30.193,3.068,590.889
goldilocks,2,23,64,4,256,148,32,248.471,64.785,2.673,685.549
goldilocks,2,23,64,4,256,148,32,248.019,47.506,2.580,684.361
goldilocks,2,23,64,4,256,148,32,248.776,51.920,2.565,679.361
goldilocks,2,23,64,4,256,148,32,242.833,47.109,1.536,692.518
goldilocks,2,23,64,4,256,148,32,240.332,44.433,2.498,686.986
goldilocks,2,24,64,4,256,149,32,458.346,103.994,2.135,798.805
goldilocks,2,24,64,4,256,149,32,456.114,79.331,1.771,803.023
goldilocks,2,24,64,4,256,149,32,454.899,74.302,1.672,790.430
goldilocks,2,24,64,4,256,149,32,445.449,88.586,2.578,800.305
goldilocks,2,24,64,4,256,149,32,441.680,82.355,2.548,797.492
goldilocks,2,25,64,4,256,149,32,880.144,215.014,2.931,917.434
