log_n,rho,threads,commit_time,prove_time,verify_time,proof_size
20,0.5,32,0.100358664,0.609584119,0.014420656,273269
20,0.5,32,0.106496931,0.606933752,0.014288885,273205
20,0.5,32,0.147922830,0.561327089,0.014331366,273109
20,0.5,32,0.083497123,0.535206308,0.014246614,275189
20,0.5,32,0.084253891,0.546745894,0.014346855,274229
21,0.5,32,0.210837962,1.136295290,0.014397266,292917
21,0.5,32,0.178491643,1.117523820,0.014454517,295925
21,0.5,32,0.181310614,1.098211025,0.014440856,294934
21,0.5,32,0.183114173,1.114053082,0.014578298,295029
21,0.5,32,0.212183599,1.128581713,0.014478897,293685
22,0.5,32,0.410749586,2.113102653,0.014914491,321168
22,0.5,32,0.437696583,2.113410081,0.014906242,321776
22,0.5,32,0.435816754,2.115938394,0.014945462,319984
22,0.5,32,0.620372244,2.210449019,0.014926013,320880
22,0.5,32,0.380707692,2.062228151,0.014948423,320720
23,0.5,32,0.852348201,4.063389327,0.015097435,342993
23,0.5,32,1.030370005,4.067440678,0.015077925,342609
23,0.5,32,0.851307323,3.952702478,0.015058275,342673
23,0.5,32,0.913268991,3.869341015,0.015096536,340753
23,0.5,32,0.846974867,3.859297113,0.015079626,343184
24,0.5,32,1.894685237,7.747687566,0.015666662,371855
24,0.5,32,1.803768551,7.685696128,0.015729673,372463
24,0.5,32,1.866630488,7.710740277,0.015681663,371119
24,0.5,32,1.841032519,7.833999972,0.015658704,372495
24,0.5,32,1.864213809,7.717482739,0.015672944,370895
25,0.5,32,3.628283064,15.137480884,0.015839067,392944
25,0.5,32,3.646784191,14.999960862,0.015837049,395312
25,0.5,32,3.676069513,14.740490449,0.015854819,396400
25,0.5,32,3.625606672,14.758923059,0.015886239,394960
25,0.5,32,3.636028491,15.383236352,0.015939961,393360
26,0.5,32,7.467044403,30.087371304,0.016309947,422888
26,0.5,32,7.437719407,29.818269130,0.016376178,422792
26,0.5,32,7.442968480,30.059008561,0.016289778,422312
26,0.5,32,7.430530219,29.775877322,0.016320400,423752
26,0.5,32,7.452681769,29.707596253,0.016273539,419879
27,0.5,32,15.133345903,59.886491095,0.016507125,445544
27,0.5,32,15.189335411,59.300285239,0.016481086,442856
27,0.5,32,15.064518132,59.829863580,0.016522047,443688
27,0.5,32,15.058980565,59.696220294,0.016525948,444232
27,0.5,32,15.076840647,59.610257388,0.016550429,443528
28,0.5,32,30.146775104,121.816638122,0.016944776,474943
28,0.5,32,29.984816356,119.002394312,0.016945835,474047
28,0.5,32,30.028645432,119.131340692,0.017001984,475487
28,0.5,32,30.156450741,121.359435712,0.016943040,473599
28,0.5,32,29.802363178,119.441374695,0.016957608,473407
