log_n,rho,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
20,1/2,32,71.226,9.327,18.166,632.617
21,1/2,32,108.485,10.185,17.637,873.617
22,1/2,32,180.810,20.169,29.899,1139.031
23,1/2,32,286.518,21.932,31.143,1621.031
24,1/2,32,529.294,46.417,51.558,2142.445
25,1/2,32,929.861,60.090,51.023,3106.445
26,1/2,32,1720.684,117.896,71.697,4139.859
27,1/2,32,3347.994,186.606,74.757,6067.859
28,1/2,32,6559.287,343.758,99.393,8125.273
20,1/4,32,110.608,9.397,21.106,493.086
21,1/4,32,152.147,10.349,20.095,641.086
22,1/4,32,279.065,18.771,35.225,902.867
23,1/4,32,503.114,22.909,35.889,1198.867
24,1/4,32,860.789,39.798,50.420,1716.648
25,1/4,32,1546.793,64.615,58.450,2308.648
26,1/4,32,3007.937,116.838,91.026,3338.430
27,1/4,32,5879.514,205.164,91.269,4522.430
28,1/4,32,11463.819,336.188,123.713,6576.211
