log_n,rho,threads,commit_time_ms,open_time_ms,verify_time_ms,proof_size_KiB
20,1/2,32,55.827,106.845,2.007,224.453
20,1/2,32,29.032,99.527,2.042,224.078
20,1/2,32,29.271,97.070,1.987,223.172
20,1/2,32,29.013,98.649,1.972,222.703
20,1/2,32,28.716,97.283,2.012,224.484
21,1/2,32,71.339,184.602,2.249,249.941
21,1/2,32,76.281,169.874,2.204,250.535
21,1/2,32,76.861,200.579,2.167,248.566
21,1/2,32,82.965,177.252,2.177,250.535
21,1/2,32,79.639,173.573,2.193,250.410
22,1/2,32,184.547,368.020,2.379,272.582
22,1/2,32,152.282,298.576,2.370,270.145
22,1/2,32,172.553,344.022,2.357,270.801
22,1/2,32,177.413,355.464,2.345,271.051
22,1/2,32,162.236,350.323,2.400,271.957
23,1/2,32,353.846,688.939,2.585,301.448
23,1/2,32,373.496,673.742,2.663,301.386
23,1/2,32,298.381,588.607,2.608,298.761
23,1/2,32,314.766,641.567,2.569,299.792
23,1/2,32,313.913,613.257,2.659,303.042
24,1/2,32,642.145,1355.576,2.779,320.370
24,1/2,32,656.578,1287.738,2.794,321.933
24,1/2,32,636.133,1314.877,2.761,321.339
24,1/2,32,685.553,1366.211,2.731,320.120
24,1/2,32,666.472,1278.118,2.838,322.370
25,1/2,32,1312.083,2628.163,2.997,349.354
25,1/2,32,1353.405,2574.363,2.984,350.916
25,1/2,32,1324.095,2842.586,3.067,348.916
25,1/2,32,1305.383,2728.262,3.013,349.822
25,1/2,32,1305.346,2583.847,2.970,349.760
26,1/2,32,2969.434,5309.797,3.144,373.119
26,1/2,32,2675.677,5308.053,3.132,370.213
26,1/2,32,2586.113,5092.472,3.102,372.650
26,1/2,32,2549.829,5283.380,3.109,371.713
26,1/2,32,2630.521,5152.279,3.168,371.275
27,1/2,32,5224.713,10467.780,3.344,401.163
27,1/2,32,5273.509,10181.646,3.346,399.882
27,1/2,32,5099.495,10116.384,3.409,400.288
27,1/2,32,5406.906,10627.381,3.356,399.444
27,1/2,32,5127.102,10046.810,3.385,400.226
28,1/2,32,10841.374,21034.314,3.477,423.647
28,1/2,32,11635.190,21227.700,3.494,421.616
28,1/2,32,10694.639,20619.112,3.490,423.647
28,1/2,32,10643.211,20578.262,3.469,421.522
28,1/2,32,10608.887,20358.724,3.504,422.085
20,1/4,32,88.104,157.301,1.411,163.366
20,1/4,32,71.410,144.518,1.423,163.929
20,1/4,32,70.084,144.872,1.405,163.179
20,1/4,32,71.552,159.043,1.399,162.772
20,1/4,32,77.919,144.990,1.417,160.304
21,1/4,32,137.560,288.532,1.583,183.164
21,1/4,32,146.618,287.016,1.564,182.539
21,1/4,32,155.402,289.390,1.582,182.070
21,1/4,32,154.871,278.338,1.552,183.227
21,1/4,32,153.540,273.737,1.556,182.570
22,1/4,32,319.437,574.942,1.697,196.023
22,1/4,32,279.597,526.265,1.655,195.648
22,1/4,32,259.232,509.613,1.671,195.492
22,1/4,32,352.153,510.252,1.663,196.180
22,1/4,32,275.015,522.760,1.668,196.273
23,1/4,32,626.747,1114.209,1.843,220.167
23,1/4,32,623.421,1108.387,1.840,219.136
23,1/4,32,591.820,1100.249,1.840,217.261
23,1/4,32,588.642,1093.187,1.845,218.823
23,1/4,32,636.086,1130.469,1.823,217.448
24,1/4,32,1209.843,2243.677,1.965,232.464
24,1/4,32,1141.531,2252.165,1.948,231.683
24,1/4,32,1128.403,2272.331,1.970,231.776
24,1/4,32,1142.960,2299.312,1.940,231.370
24,1/4,32,1234.447,2283.536,1.951,233.620
25,1/4,32,2438.728,4367.080,2.100,253.727
25,1/4,32,2290.680,4490.702,2.140,252.195
25,1/4,32,2254.330,4425.091,2.152,253.477
25,1/4,32,2393.262,4578.544,2.097,254.633
25,1/4,32,2337.159,4303.556,2.132,256.039
26,1/4,32,4675.163,9417.807,2.219,268.930
26,1/4,32,4856.049,9074.465,2.235,269.773
26,1/4,32,4662.819,8710.185,2.233,269.086
26,1/4,32,4539.451,8883.827,2.221,267.680
26,1/4,32,4738.392,9242.322,2.251,269.055
27,1/4,32,10136.506,18173.738,2.380,289.253
27,1/4,32,9566.792,17508.075,2.429,289.159
27,1/4,32,9627.481,17760.424,2.377,290.440
27,1/4,32,10276.160,18275.972,2.396,289.659
27,1/4,32,9556.745,18107.525,2.370,290.097
28,1/4,32,19409.095,35513.484,2.556,306.019
28,1/4,32,19199.302,36133.250,2.490,306.769
28,1/4,32,20819.515,35562.054,2.527,305.706
28,1/4,32,21204.510,36121.345,2.488,306.269
28,1/4,32,19767.166,37009.656,2.497,304.612
