log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
20,1024,1024,0.5,1,0.140332438,0.065555147,0.032142958,7321987
20,1024,1024,0.5,1,0.140827709,0.061179324,0.030162643,7222648
20,1024,1024,0.5,1,0.142206431,0.061716626,0.031106355,7452755
20,1024,1024,0.5,1,0.141171237,0.058055311,0.023543969,7188467
20,1024,1024,0.5,1,0.141163906,0.058020921,0.023929517,7321027
20,1024,1024,0.5,32,0.038055096,0.068028484,0.034670937,7321987
20,1024,1024,0.5,32,0.035694891,0.063742144,0.033076110,7222648
20,1024,1024,0.5,32,0.034769699,0.063886888,0.033924320,7452755
20,1024,1024,0.5,32,0.031746659,0.063396596,0.032701871,7188467
20,1024,1024,0.5,32,0.032291632,0.063373375,0.033067800,7321027
21,1024,2048,0.5,1,0.300767332,0.117157828,0.034055603,7792187
21,1024,2048,0.5,1,0.319954240,0.109623072,0.034006772,7727284
21,1024,2048,0.5,1,0.319507829,0.110174495,0.032741472,7496920
21,1024,2048,0.5,1,0.341822298,0.125804919,0.034143004,7762903
21,1024,2048,0.5,1,0.311933993,0.109393406,0.033369157,7595140
21,1024,2048,0.5,32,0.073152434,0.120358973,0.036523281,7792187
21,1024,2048,0.5,32,0.072970679,0.112248383,0.036197022,7727284
21,1024,2048,0.5,32,0.075998809,0.111458785,0.035206850,7496920
21,1024,2048,0.5,32,0.064147974,0.111377573,0.036290395,7762903
21,1024,2048,0.5,32,0.067039610,0.111335422,0.041815904,7595140
22,1024,4096,0.5,1,0.645943478,0.221879336,0.039846357,8114111
22,1024,4096,0.5,1,0.713936481,0.241436111,0.038320102,8054743
22,1024,4096,0.5,1,0.679084080,0.212178080,0.035860585,7980464
22,1024,4096,0.5,1,0.675555418,0.211930234,0.034951344,7878627
22,1024,4096,0.5,1,0.674364000,0.212327413,0.039179402,8049591
22,1024,4096,0.5,32,0.142638771,0.222178433,0.037579185,8114111
22,1024,4096,0.5,32,0.140250465,0.213379808,0.037456692,8054743
22,1024,4096,0.5,32,0.146169763,0.248796632,0.037300299,7980464
22,1024,4096,0.5,32,0.147054193,0.214088244,0.037370310,7878627
22,1024,4096,0.5,32,0.137482980,0.214562215,0.037402722,8049591
23,1024,8192,0.5,1,1.434376483,0.429131251,0.041579978,8084792
23,1024,8192,0.5,1,1.412061535,0.465614079,0.039872868,8118780
23,1024,8192,0.5,1,1.403489565,0.420165511,0.042572511,8223079
23,1024,8192,0.5,1,1.406530385,0.419046046,0.041246070,8086935
23,1024,8192,0.5,1,1.404710654,0.419533178,0.042892948,8184899
23,1024,8192,0.5,32,0.274616463,0.429290955,0.037928663,8084792
23,1024,8192,0.5,32,0.266823462,0.517519858,0.038426985,8118780
23,1024,8192,0.5,32,0.261688592,0.419570758,0.041778812,8223079
23,1024,8192,0.5,32,0.242162558,0.420630423,0.038379553,8086935
23,1024,8192,0.5,32,0.244720137,0.419876305,0.038464446,8184899
24,1024,16384,0.5,1,3.026769136,0.846716502,0.041552198,8275879
24,1024,16384,0.5,1,2.940561219,0.844593433,0.042671623,8309163
24,1024,16384,0.5,1,2.939819572,0.832643995,0.042106891,8213247
24,1024,16384,0.5,1,2.939583996,0.835263576,0.041687880,8302219
24,1024,16384,0.5,1,2.935852819,0.831432887,0.041599468,8276199
24,1024,16384,0.5,32,0.538865435,0.862358607,0.039178882,8275879
24,1024,16384,0.5,32,0.488267837,0.921491163,0.039159252,8309163
24,1024,16384,0.5,32,0.485571154,0.926727705,0.036149891,8213247
24,1024,16384,0.5,32,0.476529904,0.826329288,0.039015288,8302219
24,1024,16384,0.5,32,0.469228184,0.825442987,0.038916746,8276199
25,1024,32768,0.5,1,6.417859624,1.761562491,0.044888865,8443859
25,1024,32768,0.5,1,6.332062687,1.728369738,0.037296058,8439891
25,1024,32768,0.5,1,6.261681738,1.749895500,0.037672467,8381932
25,1024,32768,0.5,1,6.255253788,1.661092322,0.036801997,8447348
25,1024,32768,0.5,1,6.205075681,1.655671835,0.036986391,8413487
25,1024,32768,0.5,32,1.049948874,1.764431458,0.040455052,8443859
25,1024,32768,0.5,32,0.912611477,1.656041714,0.037791270,8439891
25,1024,32768,0.5,32,0.907772403,1.643894391,0.037591945,8381932
25,1024,32768,0.5,32,0.895077908,1.640276108,0.035162628,8447348
25,1024,32768,0.5,32,0.892089469,1.643769529,0.038491766,8413487
26,1024,65536,0.5,1,13.486135661,3.680529056,0.040492223,8573496
26,1024,65536,0.5,1,13.553186161,3.396218096,0.037653566,8524371
26,1024,65536,0.5,1,13.398949011,3.394403454,0.039015898,8564344
26,1024,65536,0.5,1,13.201563745,3.406939397,0.038515066,8565111
26,1024,65536,0.5,1,13.211165809,3.299622099,0.038157068,8558743
26,1024,65536,0.5,32,2.266559388,3.781704682,0.041152898,8573496
26,1024,65536,0.5,32,1.972667886,3.458016516,0.038501706,8524371
26,1024,65536,0.5,32,1.888503446,3.366883175,0.037956064,8564344
26,1024,65536,0.5,32,1.835322858,3.281264631,0.037313709,8565111
26,1024,65536,0.5,32,1.821334053,3.276387948,0.037854242,8558743
27,1024,131072,0.5,1,28.301766353,7.412538601,0.042242794,8703995
27,1024,131072,0.5,1,28.547801591,6.741846806,0.041813673,8704380
27,1024,131072,0.5,1,28.258646109,6.782122655,0.043131854,8659640
27,1024,131072,0.5,1,28.018660902,6.781068900,0.042454708,8665239
27,1024,131072,0.5,1,27.466727952,6.734117517,0.040637506,8660791
27,1024,131072,0.5,32,4.433202999,6.911440425,0.036641793,8703995
27,1024,131072,0.5,32,3.924739012,6.791013961,0.039715705,8704380
27,1024,131072,0.5,32,3.865528873,6.551227979,0.038437565,8659640
27,1024,131072,0.5,32,3.751475708,6.604316355,0.038826064,8665239
27,1024,131072,0.5,32,3.701561816,6.509101578,0.038394894,8660791
28,1024,262144,0.5,1,59.872687214,14.537438656,0.046914093,8865343
28,1024,262144,0.5,1,59.857466011,14.580245583,0.047205709,8847231
28,1024,262144,0.5,1,60.145237820,14.077894267,0.048245103,8860991
28,1024,262144,0.5,1,60.021460768,14.491136288,0.045159771,8855456
28,1024,262144,0.5,1,60.163735761,13.731267947,0.047473175,8850175
28,1024,262144,0.5,32,9.681909904,14.605292345,0.036056080,8865343
28,1024,262144,0.5,32,8.470309307,13.898904033,0.033631553,8847231
28,1024,262144,0.5,32,8.157846792,14.122260585,0.039049980,8860991
28,1024,262144,0.5,32,8.460875748,13.853552668,0.039210193,8855456
28,1024,262144,0.5,32,8.479102913,13.075422647,0.036750276,8850175
29,1024,524288,0.5,1,128.290278536,31.147418890,0.051577211,9031907
29,1024,524288,0.5,1,128.804640175,32.107503227,0.048025079,9026371
29,1024,524288,0.5,1,128.411541371,32.058768202,0.046086403,8985919
29,1024,524288,0.5,1,128.718992670,32.746379365,0.045335516,9024580
29,1024,524288,0.5,1,128.822887359,32.090854500,0.048456939,9028387
29,1024,524288,0.5,32,20.931875031,30.783741011,0.035967948,9031907
29,1024,524288,0.5,32,20.006164584,28.807770327,0.036884799,9026371
29,1024,524288,0.5,32,19.237929464,28.878554401,0.038780093,8985919
29,1024,524288,0.5,32,20.210964696,28.576495906,0.038592719,9024580
29,1024,524288,0.5,32,19.244114946,27.045717191,0.038154149,9028387
30,1024,1048576,0.5,1,289.938999800,64.946519849,0.045503770,9203399
30,1024,1048576,0.5,1,284.989865275,68.397601022,0.045427889,9201351
30,1024,1048576,0.5,1,285.397247143,69.162569984,0.042790116,9205543
30,1024,1048576,0.5,1,285.575989149,69.126266409,0.042001388,9196455
30,1024,1048576,0.5,1,285.499857707,69.182084559,0.042070379,9190088
30,1024,1048576,0.5,32,46.499019946,65.127921183,0.033851639,9203399
30,1024,1048576,0.5,32,37.605709094,57.343839924,0.033123932,9201351
30,1024,1048576,0.5,32,43.800122308,62.088172855,0.033254804,9205543
30,1024,1048576,0.5,32,43.150503588,67.482535645,0.036190263,9196455
30,1024,1048576,0.5,32,36.421063563,57.218314152,0.032521517,9190088
