log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
20,1024,1024,0.5,1,0.078220939,0.023368227,0.025584929,3495763
20,1024,1024,0.5,1,0.078302401,0.021367002,0.025844184,3627539
20,1024,1024,0.5,1,0.078898245,0.021421263,0.026637583,3708231
20,1024,1024,0.5,1,0.078731821,0.021095505,0.025025736,3528091
20,1024,1024,0.5,1,0.078699300,0.021064184,0.025153058,3511223
20,1024,1024,0.5,2,0.046129571,0.022898716,0.025258441,3495763
20,1024,1024,0.5,2,0.051123276,0.020947412,0.025278361,3627539
20,1024,1024,0.5,2,0.049314503,0.019356565,0.022804414,3708231
20,1024,1024,0.5,2,0.055486466,0.021206408,0.024549904,3528091
20,1024,1024,0.5,2,0.058856843,0.021202768,0.024755769,3511223
20,1024,1024,0.5,4,0.030095882,0.022853716,0.024871862,3495763
20,1024,1024,0.5,4,0.042537859,0.021191838,0.032535288,3627539
20,1024,1024,0.5,4,0.047346699,0.021545096,0.033925651,3708231
20,1024,1024,0.5,4,0.039316184,0.019453817,0.021944695,3528091
20,1024,1024,0.5,4,0.040168703,0.019480499,0.022010276,3511223
20,1024,1024,0.5,8,0.023871829,0.023252145,0.032348344,3495763
20,1024,1024,0.5,8,0.030390739,0.021528355,0.037041982,3627539
20,1024,1024,0.5,8,0.030653685,0.021654598,0.038135977,3708231
20,1024,1024,0.5,8,0.025525127,0.019556460,0.036441788,3528091
20,1024,1024,0.5,8,0.025996818,0.019569680,0.036020689,3511223
20,1024,1024,0.5,16,0.019526409,0.023104101,0.033246295,3495763
20,1024,1024,0.5,16,0.022520478,0.021619277,0.039350146,3627539
20,1024,1024,0.5,16,0.016269125,0.019915718,0.036442459,3708231
20,1024,1024,0.5,16,0.016769676,0.019777315,0.034488843,3528091
20,1024,1024,0.5,16,0.016808987,0.019713223,0.034379531,3511223
21,1024,2048,0.5,1,0.162147199,0.039367525,0.027781929,3799895
21,1024,2048,0.5,1,0.162359784,0.037448762,0.028325052,3933783
21,1024,2048,0.5,1,0.163579082,0.035215890,0.024444603,3867912
21,1024,2048,0.5,1,0.161298589,0.035181669,0.024437682,3882476
21,1024,2048,0.5,1,0.161506904,0.035199320,0.024337510,3865255
21,1024,2048,0.5,2,0.096526411,0.038378832,0.027158105,3799895
21,1024,2048,0.5,2,0.100032181,0.036769366,0.027424521,3933783
21,1024,2048,0.5,2,0.098823833,0.034752929,0.023577433,3867912
21,1024,2048,0.5,2,0.096458609,0.034720209,0.023454750,3882476
21,1024,2048,0.5,2,0.096643492,0.034784510,0.023404858,3865255
21,1024,2048,0.5,4,0.062737233,0.038312521,0.026585741,3799895
21,1024,2048,0.5,4,0.076449298,0.036753605,0.025322712,3933783
21,1024,2048,0.5,4,0.087065723,0.034955344,0.023014899,3867912
21,1024,2048,0.5,4,0.086080819,0.034706479,0.023321966,3882476
21,1024,2048,0.5,4,0.081143366,0.034675888,0.023031319,3865255
21,1024,2048,0.5,8,0.051917894,0.038252449,0.035309892,3799895
21,1024,2048,0.5,8,0.062207910,0.037113583,0.039971769,3933783
21,1024,2048,0.5,8,0.062209020,0.034886742,0.035740782,3867912
21,1024,2048,0.5,8,0.061781400,0.034804731,0.035927276,3882476
21,1024,2048,0.5,8,0.061779251,0.034821721,0.035844274,3865255
21,1024,2048,0.5,16,0.041786561,0.038907135,0.039386276,3799895
21,1024,2048,0.5,16,0.044215647,0.037014421,0.040278097,3933783
21,1024,2048,0.5,16,0.043435609,0.035067566,0.035958857,3867912
21,1024,2048,0.5,16,0.043856029,0.034923503,0.036061609,3882476
21,1024,2048,0.5,16,0.043623334,0.035063306,0.036061460,3865255
22,1024,4096,0.5,1,0.330235225,0.071557345,0.030573294,4055148
22,1024,4096,0.5,1,0.329560209,0.066832777,0.029837147,3990523
22,1024,4096,0.5,1,0.332489527,0.066534560,0.030769028,4071823
22,1024,4096,0.5,1,0.354797850,0.078477695,0.030508631,4073871
22,1024,4096,0.5,1,0.333959210,0.066721375,0.030856500,4073775
22,1024,4096,0.5,2,0.191546475,0.069343255,0.029463447,4055148
22,1024,4096,0.5,2,0.206743925,0.065270871,0.029043228,3990523
22,1024,4096,0.5,2,0.204320239,0.064907293,0.029853606,4071823
22,1024,4096,0.5,2,0.201089215,0.065121318,0.029667963,4073871
22,1024,4096,0.5,2,0.202554559,0.065142299,0.029832436,4073775
22,1024,4096,0.5,4,0.124144855,0.069088519,0.028652359,4055148
22,1024,4096,0.5,4,0.151841272,0.064239727,0.028397743,3990523
22,1024,4096,0.5,4,0.149462007,0.064922453,0.028721831,4071823
22,1024,4096,0.5,4,0.151640687,0.064396321,0.028787662,4073871
22,1024,4096,0.5,4,0.146424437,0.064470543,0.028678460,4073775
22,1024,4096,0.5,8,0.098648839,0.068716950,0.041425753,4055148
22,1024,4096,0.5,8,0.114091114,0.064308159,0.041126335,3990523
22,1024,4096,0.5,8,0.114383651,0.064130735,0.042246092,4071823
22,1024,4096,0.5,8,0.113801677,0.064490493,0.041472814,4073871
22,1024,4096,0.5,8,0.115953157,0.064144065,0.041825752,4073775
22,1024,4096,0.5,16,0.084847731,0.070053691,0.042195270,4055148
