log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
20,1024,1024,0.5,1,0.295477022,0.066401751,0.061146649,6960664
20,1024,1024,0.5,1,0.294578641,0.062709305,0.061839575,7156527
20,1024,1024,0.5,1,0.294762025,0.059661815,0.055485560,7091079
20,1024,1024,0.5,1,0.306362423,0.069683787,0.061439336,7352615
20,1024,1024,0.5,1,0.294291684,0.059384229,0.054659450,7124811
20,1024,1024,0.5,2,0.166601780,0.065406458,0.059651625,6960664
20,1024,1024,0.5,2,0.175100786,0.061899457,0.060251279,7156527
20,1024,1024,0.5,2,0.162695120,0.058510949,0.053169595,7091079
20,1024,1024,0.5,2,0.162448414,0.059169924,0.055342126,7352615
20,1024,1024,0.5,2,0.162720921,0.058718164,0.053902822,7124811
20,1024,1024,0.5,4,0.093799042,0.064724192,0.059000681,6960664
20,1024,1024,0.5,4,0.107312094,0.061668261,0.059371618,7156527
20,1024,1024,0.5,4,0.118778339,0.061357224,0.058880128,7091079
20,1024,1024,0.5,4,0.120216722,0.061964338,0.061025787,7352615
20,1024,1024,0.5,4,0.113568649,0.061601600,0.059381748,7124811
20,1024,1024,0.5,8,0.073256719,0.065056330,0.058954310,6960664
20,1024,1024,0.5,8,0.084632681,0.061489177,0.059576004,7156527
20,1024,1024,0.5,8,0.084055607,0.061154330,0.058930618,7091079
20,1024,1024,0.5,8,0.083720050,0.058334805,0.058479668,7352615
20,1024,1024,0.5,8,0.086625397,0.058135640,0.053931354,7124811
20,1024,1024,0.5,16,0.061267323,0.065487200,0.084394215,6960664
20,1024,1024,0.5,16,0.063890012,0.062176574,0.075320686,7156527
20,1024,1024,0.5,16,0.066563484,0.058790045,0.075047400,7091079
20,1024,1024,0.5,16,0.057850863,0.058766535,0.069765088,7352615
20,1024,1024,0.5,16,0.063214897,0.058590920,0.053828761,7124811
21,1024,2048,0.5,1,0.619022220,0.122764810,0.067274721,7526043
21,1024,2048,0.5,1,0.633623917,0.138727867,0.067627028,7591460
21,1024,2048,0.5,1,0.615033168,0.112480993,0.083455554,7593411
21,1024,2048,0.5,1,0.616369728,0.113113477,0.069631005,7857348
21,1024,2048,0.5,1,0.614900575,0.113582178,0.070616928,7854980
21,1024,2048,0.5,2,0.336472397,0.118710986,0.087545538,7526043
21,1024,2048,0.5,2,0.348223647,0.110476567,0.065628253,7591460
21,1024,2048,0.5,2,0.350251694,0.147975881,0.066097024,7593411
21,1024,2048,0.5,2,0.349303893,0.110937747,0.084487317,7857348
21,1024,2048,0.5,2,0.344826369,0.111076270,0.067833534,7854980
21,1024,2048,0.5,4,0.192244422,0.117513939,0.063833641,7526043
21,1024,2048,0.5,4,0.211437974,0.109775351,0.064513347,7591460
21,1024,2048,0.5,4,0.219789037,0.110443506,0.065034749,7593411
21,1024,2048,0.5,4,0.213273827,0.110261102,0.066805690,7857348
21,1024,2048,0.5,4,0.213907571,0.149650140,0.083995476,7854980
21,1024,2048,0.5,8,0.136895707,0.116931175,0.081855487,7526043
21,1024,2048,0.5,8,0.147183333,0.109343191,0.081752534,7591460
21,1024,2048,0.5,8,0.147423858,0.109058914,0.064867146,7593411
21,1024,2048,0.5,8,0.149232910,0.109883503,0.083333501,7857348
21,1024,2048,0.5,8,0.149028086,0.109610007,0.074972678,7854980
21,1024,2048,0.5,16,0.115943373,0.116673850,0.064564408,7526043
21,1024,2048,0.5,16,0.131070832,0.109077544,0.065750806,7591460
21,1024,2048,0.5,16,0.128957962,0.109108705,0.066191185,7593411
21,1024,2048,0.5,16,0.130570619,0.109436823,0.067475446,7857348
21,1024,2048,0.5,16,0.129533966,0.109257829,0.076854511,7854980
22,1024,4096,0.5,1,1.283913687,0.282906352,0.090103407,7982703
22,1024,4096,0.5,1,1.263727041,0.217938464,0.088296456,7878979
22,1024,4096,0.5,1,1.265948574,0.217945525,0.088269545,7981935
22,1024,4096,0.5,1,1.265134885,0.217910064,0.089341290,8076475
22,1024,4096,0.5,1,1.263396694,0.217930944,0.094673603,8016627
22,1024,4096,0.5,2,0.694791147,0.223151734,0.093583248,7982703
22,1024,4096,0.5,2,0.717406258,0.248334815,0.093868744,7878979
22,1024,4096,0.5,2,0.690000946,0.214160597,0.095199705,7981935
22,1024,4096,0.5,2,0.690273943,0.214126736,0.095520122,8076475
22,1024,4096,0.5,2,0.689929435,0.214643428,0.095914881,8016627
22,1024,4096,0.5,4,0.387571974,0.220687317,0.084662472,7982703
22,1024,4096,0.5,4,0.402280733,0.211811643,0.085613874,7878979
22,1024,4096,0.5,4,0.415290853,0.264690652,0.092027541,7981935
22,1024,4096,0.5,4,0.396443149,0.212832367,0.086988875,8076475
22,1024,4096,0.5,4,0.398015246,0.212287464,0.085645205,8016627
22,1024,4096,0.5,8,0.247632408,0.221303402,0.067614508,7982703
22,1024,4096,0.5,8,0.259891771,0.211762782,0.091442948,7878979
22,1024,4096,0.5,8,0.257143398,0.246827250,0.086453013,7981935
22,1024,4096,0.5,8,0.260759782,0.211214509,0.086821601,8076475
22,1024,4096,0.5,8,0.261510638,0.212192282,0.086972455,8016627
22,1024,4096,0.5,16,0.204399152,0.219740405,0.085935061,7982703
22,1024,4096,0.5,16,0.197944663,0.210789579,0.085138902,7878979
22,1024,4096,0.5,16,0.202077599,0.249536312,0.086336540,7981935
22,1024,4096,0.5,16,0.198928345,0.211513536,0.087528898,8076475
22,1024,4096,0.5,16,0.196682414,0.211419503,0.068990661,8016627
23,1024,8192,0.5,1,2.686239255,0.487561589,0.089844411,8154880
23,1024,8192,0.5,1,2.612104906,0.437957436,0.093272480,8121403
23,1024,8192,0.5,1,2.611530542,0.431335214,0.088672144,8151551
23,1024,8192,0.5,1,2.613870466,0.431620150,0.089089394,8185667
23,1024,8192,0.5,1,2.611947962,0.431805354,0.089046133,8123611
23,1024,8192,0.5,2,1.441686585,0.490168859,0.092002150,8154880
23,1024,8192,0.5,2,1.447507589,0.522574617,0.092407700,8121403
23,1024,8192,0.5,2,1.421359095,0.423747919,0.093744651,8151551
23,1024,8192,0.5,2,1.418325885,0.422971960,0.072547623,8185667
23,1024,8192,0.5,2,1.414932508,0.427652289,0.094094439,8123611
23,1024,8192,0.5,4,0.794214099,0.429292596,0.095697906,8154880
23,1024,8192,0.5,4,0.821597020,0.424245930,0.096129306,8121403
23,1024,8192,0.5,4,0.805616292,0.428789904,0.093494136,8151551
23,1024,8192,0.5,4,0.802996481,0.418367165,0.093452415,8185667
23,1024,8192,0.5,4,0.805834736,0.420901973,0.092450851,8123611
23,1024,8192,0.5,8,0.495247756,0.427113526,0.087013886,8154880
23,1024,8192,0.5,8,0.501001380,0.514450449,0.093346832,8121403
23,1024,8192,0.5,8,0.497074629,0.461671133,0.093398763,8151551
23,1024,8192,0.5,8,0.499968325,0.417013834,0.095036831,8185667
23,1024,8192,0.5,8,0.498597154,0.415704983,0.088173842,8123611
