log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
20,1024,1024,0.5,1,0.131665661,0.030462026,0.037123939,3509655
20,1024,1024,0.5,1,0.114212941,0.023100418,0.032181245,3594348
20,1024,1024,0.5,1,0.107856626,0.034308174,0.035504222,3528699
20,1024,1024,0.5,1,0.110009785,0.040787632,0.039701918,3725547
20,1024,1024,0.5,1,0.110076707,0.040250800,0.038897569,3677856
20,1024,1024,0.5,2,0.064553246,0.023637540,0.030572159,3509655
20,1024,1024,0.5,2,0.065002717,0.021719386,0.030911447,3594348
20,1024,1024,0.5,2,0.071889463,0.021616255,0.030189110,3528699
20,1024,1024,0.5,2,0.069345696,0.021971432,0.032057674,3725547
20,1024,1024,0.5,2,0.059406119,0.022052174,0.031156602,3677856
20,1024,1024,0.5,4,0.038631973,0.023299603,0.030142869,3509655
20,1024,1024,0.5,4,0.051388446,0.021540352,0.030552309,3594348
20,1024,1024,0.5,4,0.055795485,0.022502925,0.029668569,3528699
20,1024,1024,0.5,4,0.055487538,0.022064965,0.031479110,3725547
20,1024,1024,0.5,4,0.055428267,0.022048274,0.031058381,3677856
20,1024,1024,0.5,8,0.030847785,0.023217040,0.030267043,3509655
20,1024,1024,0.5,8,0.038293496,0.021733737,0.040494766,3594348
20,1024,1024,0.5,8,0.039846242,0.021637525,0.040406894,3528699
20,1024,1024,0.5,8,0.031306076,0.020407666,0.029433704,3725547
20,1024,1024,0.5,8,0.032664977,0.020051379,0.029161326,3677856
20,1024,1024,0.5,16,0.024632024,0.023659151,0.040788662,3509655
20,1024,1024,0.5,16,0.025690878,0.021928161,0.041389597,3594348
20,1024,1024,0.5,16,0.025929642,0.021917701,0.040427524,3528699
20,1024,1024,0.5,16,0.026487546,0.022319051,0.047954836,3725547
20,1024,1024,0.5,16,0.026327722,0.022119975,0.047831083,3677856
21,1024,2048,0.5,1,0.232867965,0.042603744,0.036575986,3933112
21,1024,2048,0.5,1,0.231966634,0.039632826,0.034805956,3785395
21,1024,2048,0.5,1,0.232051067,0.038165322,0.031648324,3819003
21,1024,2048,0.5,1,0.231783450,0.038209494,0.031841668,3852291
21,1024,2048,0.5,1,0.246792913,0.045676334,0.034627002,3870472
21,1024,2048,0.5,2,0.130429613,0.040192139,0.034330145,3933112
21,1024,2048,0.5,2,0.133550974,0.037560859,0.032533004,3785395
21,1024,2048,0.5,2,0.131786553,0.036793201,0.029620518,3819003
21,1024,2048,0.5,2,0.131608300,0.035817548,0.029851013,3852291
21,1024,2048,0.5,2,0.132108761,0.036560106,0.030515368,3870472
21,1024,2048,0.5,4,0.079612990,0.039127745,0.033663790,3933112
21,1024,2048,0.5,4,0.089469246,0.037165960,0.031761176,3785395
21,1024,2048,0.5,4,0.090676393,0.035095003,0.028959532,3819003
21,1024,2048,0.5,4,0.091440991,0.035630735,0.029069165,3852291
21,1024,2048,0.5,4,0.091185485,0.035083472,0.029226728,3870472
21,1024,2048,0.5,8,0.061368493,0.039130045,0.033795143,3933112
21,1024,2048,0.5,8,0.072078748,0.036617847,0.031764017,3785395
21,1024,2048,0.5,8,0.075861285,0.035206355,0.038720976,3819003
21,1024,2048,0.5,8,0.073374838,0.035203774,0.029166978,3852291
21,1024,2048,0.5,8,0.076532670,0.035107293,0.029246579,3870472
21,1024,2048,0.5,16,0.046026013,0.039048782,0.045637764,3933112
