goldilocks-quadratic keccak256 log_n=20 threads=1: exact parameters PASS; estimated bytes coefficients=8388608 matrix=16777216 trees=261664 scratch=52977152 peak_with_overhead=131560232; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=20 threads=2: exact parameters PASS; estimated bytes coefficients=8388608 matrix=16777216 trees=261664 scratch=55074304 peak_with_overhead=134181672; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=20 threads=4: exact parameters PASS; estimated bytes coefficients=8388608 matrix=16777216 trees=261664 scratch=59268608 peak_with_overhead=139424552; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=20 threads=8: exact parameters PASS; estimated bytes coefficients=8388608 matrix=16777216 trees=261664 scratch=67657216 peak_with_overhead=149910312; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=20 threads=16: exact parameters PASS; estimated bytes coefficients=8388608 matrix=16777216 trees=261664 scratch=84434432 peak_with_overhead=170881832; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=21 threads=1: exact parameters PASS; estimated bytes coefficients=16777216 matrix=33554432 trees=523776 scratch=72047360 peak_with_overhead=187182912; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=21 threads=2: exact parameters PASS; estimated bytes coefficients=16777216 matrix=33554432 trees=523776 scratch=74144512 peak_with_overhead=189804352; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=21 threads=4: exact parameters PASS; estimated bytes coefficients=16777216 matrix=33554432 trees=523776 scratch=78338816 peak_with_overhead=195047232; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=21 threads=8: exact parameters PASS; estimated bytes coefficients=16777216 matrix=33554432 trees=523776 scratch=86727424 peak_with_overhead=205532992; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=21 threads=16: exact parameters PASS; estimated bytes coefficients=16777216 matrix=33554432 trees=523776 scratch=103504640 peak_with_overhead=226504512; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=22 threads=1: exact parameters PASS; estimated bytes coefficients=33554432 matrix=67108864 trees=1048032 scratch=108360704 peak_with_overhead=296144472; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=22 threads=2: exact parameters PASS; estimated bytes coefficients=33554432 matrix=67108864 trees=1048032 scratch=110457856 peak_with_overhead=298765912; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=22 threads=4: exact parameters PASS; estimated bytes coefficients=33554432 matrix=67108864 trees=1048032 scratch=114652160 peak_with_overhead=304008792; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=22 threads=8: exact parameters PASS; estimated bytes coefficients=33554432 matrix=67108864 trees=1048032 scratch=123040768 peak_with_overhead=314494552; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=22 threads=16: exact parameters PASS; estimated bytes coefficients=33554432 matrix=67108864 trees=1048032 scratch=139817984 peak_with_overhead=335466072; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=23 threads=1: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=178972928 peak_with_overhead=511549552; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=23 threads=2: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=181070080 peak_with_overhead=514170992; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=23 threads=4: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=185264384 peak_with_overhead=519413872; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=23 threads=8: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=193652992 peak_with_overhead=529899632; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=23 threads=16: exact parameters PASS; estimated bytes coefficients=67108864 matrix=134217728 trees=2096576 scratch=210430208 peak_with_overhead=550871152; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=24 threads=1: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=317995520 peak_with_overhead=939607432; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=24 threads=2: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=320092672 peak_with_overhead=942228872; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=24 threads=4: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=324286976 peak_with_overhead=947471752; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=24 threads=8: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=332675584 peak_with_overhead=957957512; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=24 threads=16: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=349452800 peak_with_overhead=978929032; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=25 threads=1: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=593651456 peak_with_overhead=1792736672; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=25 threads=2: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=595748608 peak_with_overhead=1795358112; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=25 threads=4: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=599942912 peak_with_overhead=1800600992; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
