log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
20,1024,1024,0.5,1,0.219453074,0.065007147,0.046930012,7156687
20,1024,1024,0.5,1,0.217164981,0.060912631,0.044761082,7189299
20,1024,1024,0.5,1,0.218050192,0.058085904,0.039253362,7287775
20,1024,1024,0.5,1,0.217561681,0.057377878,0.036593630,6795907
20,1024,1024,0.5,1,0.230230608,0.070230049,0.044424764,7387787
20,1024,1024,0.5,2,0.123053370,0.065271384,0.047222800,7156687
20,1024,1024,0.5,2,0.138913493,0.061104745,0.044460375,7189299
20,1024,1024,0.5,2,0.139405394,0.061287640,0.045289844,7287775
20,1024,1024,0.5,2,0.140079360,0.060533752,0.041867373,6795907
20,1024,1024,0.5,2,0.134145141,0.061633918,0.045668382,7387787
20,1024,1024,0.5,4,0.082305803,0.065322494,0.045542490,7156687
20,1024,1024,0.5,4,0.098878163,0.061079434,0.044209818,7189299
20,1024,1024,0.5,4,0.100196833,0.059211201,0.038424902,7287775
20,1024,1024,0.5,4,0.092733268,0.058166516,0.036649880,6795907
20,1024,1024,0.5,4,0.098162896,0.059446456,0.038637008,7387787
20,1024,1024,0.5,8,0.061907374,0.065199602,0.058131736,7156687
20,1024,1024,0.5,8,0.070213569,0.060999112,0.066358839,7189299
20,1024,1024,0.5,8,0.070553867,0.061303320,0.066290707,7287775
20,1024,1024,0.5,8,0.074233893,0.060391879,0.061733350,6795907
20,1024,1024,0.5,8,0.076408574,0.061711030,0.067557417,7387787
20,1024,1024,0.5,16,0.048020398,0.065467097,0.066621985,7156687
20,1024,1024,0.5,16,0.055757139,0.061365822,0.066168514,7189299
20,1024,1024,0.5,16,0.055621217,0.061647738,0.066913362,7287775
20,1024,1024,0.5,16,0.052643006,0.061105375,0.062808255,6795907
20,1024,1024,0.5,16,0.052622345,0.062081989,0.067787572,7387787
21,1024,2048,0.5,1,0.458844908,0.117527001,0.062200851,7594435
21,1024,2048,0.5,1,0.472036807,0.110315152,0.051112750,7889703
21,1024,2048,0.5,1,0.492162471,0.125528049,0.048524669,7525979
21,1024,2048,0.5,1,0.471820212,0.109406640,0.049595865,7594723
21,1024,2048,0.5,1,0.458288825,0.110091916,0.050156659,7692239
21,1024,2048,0.5,2,0.265801503,0.118355841,0.048469659,7594435
21,1024,2048,0.5,2,0.275140583,0.109832800,0.050383483,7889703
21,1024,2048,0.5,2,0.275273626,0.108780745,0.048160221,7525979
21,1024,2048,0.5,2,0.273845012,0.109339888,0.055152086,7594723
21,1024,2048,0.5,2,0.271757874,0.113973607,0.050416804,7692239
21,1024,2048,0.5,4,0.163106711,0.116994198,0.060356558,7594435
21,1024,2048,0.5,4,0.176526726,0.109865021,0.050232160,7889703
21,1024,2048,0.5,4,0.175101573,0.109047872,0.060441929,7525979
21,1024,2048,0.5,4,0.178166285,0.110058235,0.047909575,7594723
21,1024,2048,0.5,4,0.174832306,0.109075211,0.056266061,7692239
21,1024,2048,0.5,8,0.121314380,0.116529377,0.047854044,7594435
21,1024,2048,0.5,8,0.126881021,0.109299887,0.063801638,7889703
21,1024,2048,0.5,8,0.130546946,0.108810286,0.061063954,7525979
21,1024,2048,0.5,8,0.127654509,0.109022411,0.061511145,7594723
21,1024,2048,0.5,8,0.129458260,0.109849831,0.069537783,7692239
