log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
20,1024,1024,0.5,1,0.074149242,0.023088350,0.024470961,3676575
20,1024,1024,0.5,1,0.073704072,0.021138366,0.024140785,3726219
20,1024,1024,0.5,1,0.074538112,0.021106014,0.023955491,3708904
20,1024,1024,0.5,1,0.074620613,0.021113165,0.024351089,3757459
20,1024,1024,0.5,1,0.074501111,0.020859289,0.023432748,3623635
20,1024,1024,0.5,2,0.044417640,0.023076710,0.024103714,3676575
20,1024,1024,0.5,2,0.044888541,0.021041253,0.023787836,3726219
20,1024,1024,0.5,2,0.053279153,0.020881239,0.023844727,3708904
20,1024,1024,0.5,2,0.047854099,0.021040373,0.023833408,3757459
20,1024,1024,0.5,2,0.053208182,0.020816498,0.023062790,3623635
20,1024,1024,0.5,4,0.028698569,0.023111700,0.031387111,3676575
20,1024,1024,0.5,4,0.041469352,0.021403162,0.030278065,3726219
20,1024,1024,0.5,4,0.046633711,0.021334320,0.030303496,3708904
20,1024,1024,0.5,4,0.046766184,0.021410322,0.030556152,3757459
20,1024,1024,0.5,4,0.040526860,0.019435197,0.026530029,3623635
20,1024,1024,0.5,8,0.022863245,0.023276934,0.029879216,3676575
20,1024,1024,0.5,8,0.029025836,0.021555824,0.033199093,3726219
20,1024,1024,0.5,8,0.029773424,0.021563265,0.033077500,3708904
20,1024,1024,0.5,8,0.029846406,0.021650867,0.033564961,3757459
20,1024,1024,0.5,8,0.030489790,0.021277268,0.032269611,3623635
20,1024,1024,0.5,16,0.020080751,0.023507010,0.030620123,3676575
20,1024,1024,0.5,16,0.022537448,0.021586466,0.035080375,3726219
20,1024,1024,0.5,16,0.016525759,0.019617760,0.029868626,3708904
20,1024,1024,0.5,16,0.016494209,0.019810505,0.032611769,3757459
20,1024,1024,0.5,16,0.016463098,0.019775594,0.033390357,3623635
21,1024,2048,0.5,1,0.153586967,0.039139528,0.027173315,3933207
21,1024,2048,0.5,1,0.153380202,0.036386745,0.025265200,3853156
21,1024,2048,0.5,1,0.152211746,0.034896552,0.021857272,3815003
21,1024,2048,0.5,1,0.152383449,0.035297331,0.021573395,3818044
21,1024,2048,0.5,1,0.152635235,0.035323711,0.021685328,3835136
21,1024,2048,0.5,2,0.092733659,0.039265272,0.025793842,3933207
